句動詞,意味（日本語）,意味（簡単な英英訳）,例文
point out,指摘する,"to highlight, to draw attention to",Thank you for pointing out my error.
polish off,平らげる、素早く終わらせる,to finish completely and quickly,He polished off a whole pizza by himself.
pop up,ひょっこり現れる,to appear suddenly,A new window popped up on my screen.
pore over,熟読する、注意深く調べる,to read or study carefully,She pored over the documents for hours.
pull down,取り壊す,to demolish,They pulled down the old cinema.
pull off,（困難なことを）やってのける、車を寄せる,"to succeed, to steer a vehicle to the side","It was a risky plan, but they pulled it off."
pull over,車を道端に止める,to drive to the side of the road and stop,The police asked the driver to pull over.
pull through,（病気や危機を）切り抜ける,to recover from a serious illness,The doctor says she will pull through.
pull up,車を止める,to stop a vehicle,The taxi pulled up outside the hotel.
pump up,空気を入れる、テンションを上げる,"to inflate, to make enthusiastic",We need to pump up the tires. / The music pumped up the crowd.
put across,（考えを）理解させる,to communicate successfully,He is good at putting across his ideas.
put aside,取っておく、蓄える,to save,I put aside a little money every month.
put away,片付ける、お金を貯める,"to store in a proper place, to save money",Put your toys away before dinner.
put back,戻す,to return to its original place,Put the book back on the shelf.
put down,下に置く、けなす、書き留める,"to place on a surface, to criticize, to write",Put down your weapons!
put forward,提案する,to suggest,He put forward a new proposal.
put off,延期する、嫌気を起こさせる,"to postpone, to discourage",Never put off until tomorrow what you can do today.
put on,着る、身につける、（体重が）増える,"to dress, to gain weight","Put on your coat, it's cold outside."
put out,（火を）消す、怒らせる,"to extinguish, to annoy",The firefighters put out the fire.
put through,電話をつなぐ,to connect by phone,Could you put me through to the manager?
put together,組み立てる、まとめる,to assemble,It took hours to put the furniture together.
put up,掲示する、泊める、建てる,"to display, to provide accommodation, to build",They put up a new fence.
put up with,我慢する,to tolerate,I can't put up with this noise any longer!
rack up,（利益などを）蓄積する、獲得する,"to accumulate points, profits, etc.",They racked up massive debts.
ramble on,だらだらと話す,to talk at length without getting to the point,He rambled on for an hour about his cat.
rat out,密告する,to inform on someone to authorities,He ratted out his accomplices.
rattle off,スラスラと言う,to say a list of things quickly and easily,She rattled off all the presidents' names.
read into,深読みする,to assign too much meaning to something,Don't read too much into his comment.
reel off,スラスラと暗唱する,to say a list quickly,He reeled off a list of excuses.
rip off,ぼったくる,to cheat someone financially,$50 for a coffee? You were ripped off!
roll out,（新製品を）公開する、展開する,to launch a new product,Apple is rolling out a new iPhone next month.
root for,応援する,to support a team or person,I'm rooting for the home team.
rough up,暴行を加える,to attack physically,The gang roughed him up.
round off,締めくくる、四捨五入する,"to finish nicely, to round a number",We rounded off the dinner with an excellent dessert.
round up,寄せ集める、端数を切り上げる,"to gather together, to round a number up",The police rounded up the suspects.
rub off on,（影響が）うつる,to transfer a characteristic through contact,I hope his enthusiasm rubs off on the rest of the team.
rule out,除外する,to eliminate as a possibility,The police have ruled out murder.
run across,偶然見つける,to find by chance,I ran across this article online.
run after,追いかける,to chase,The dog ran after the cat.
run away,逃げる,to escape,The thief ran away when he saw the police.
run down,（車が）ひく、悪口を言う、電池が切れる,"to hit with a car, to criticize, to lose power",My phone battery has run down.
run into,偶然出会う、衝突する,"to meet by chance, to crash",I ran into my former boss yesterday.
run out (of),使い果たす、切らす,to have none left,We've run out of milk.
run over,（車が）ひく、あふれる、超過する,"to drive over, to overflow, to exceed time",He was run over by a bus.
run through,ざっとおさらいする、浪費する,"to review quickly, to spend quickly",Let's run through the script one more time.
rustle up,急いで用意する,to make a meal quickly,I'll see if I can rustle up some sandwiches.
save up,貯金する,to save money,I'm saving up for a new car.
scale back,規模を縮小する,to reduce the size or amount,We had to scale back the project due to budget cuts.
scrape by,ギリギリで生活する,to manage to live on very little money,They are just scraping by on his minimum wage.
scrape together,苦労してかき集める,to gather money or things with difficulty,I scraped together enough money for the ticket.
screw up,大失敗する,to make a major mistake,I really screwed up this time.
see off,見送る,to go to an airport/station to say goodbye,We went to the airport to see him off.
see through,見抜く,to realize the truth about someone/something,I saw through his lies immediately.
sell out,売り切れる,to be sold completely,The concert tickets sold out in minutes.
send for,呼び寄せる,to summon,We had to send for a doctor.
set about,取り掛かる,to start doing something,We need to set about cleaning the house.
set aside,取っておく、退ける,"to reserve, to ignore",Set aside some time for yourself.
set back,遅らせる,to delay,The bad weather set back the construction.
set off,出発する、引き起こす,"to start a journey, to trigger",We set off for the beach early in the morning.
set out,出発する、意図する,"to begin a journey, to intend",He set out to become a famous actor.
set up,設立する、準備する,"to establish, to arrange",They set up a new company.
settle down,落ち着く、定住する,"to become calm, to start living a quiet life",They got married and settled down in the suburbs.
settle for,（不満だが）妥協して受け入れる,to accept something less than desired,"I couldn't afford the car I wanted, so I settled for a used one."
shake off,（風邪や悪影響を）払いのける,to get rid of an illness or negative feeling,I can't seem to shake off this cold.
shake up,刷新する、動揺させる,"to reorganize, to upset",The new CEO is going to shake up the company.
shape up,態度を改める、形になる,"to improve behavior, to develop well",You need to shape up or you'll be fired.
shell out,大金を払う,to spend a lot of money,I had to shell out $500 for the repairs.
show around,案内する,to act as a guide,Let me show you around the office.
show off,見せびらかす,to boast,He's just showing off his new car.
show up,現れる,to arrive,"I waited, but he didn't show up."
shrug off,（批判などを）気にしない,to dismiss as unimportant,He shrugged off the criticism and kept working.
shut down,閉鎖する、電源を切る,"to close completely, to turn off",The factory was shut down last year.
sign off on,（正式に）承認する,to approve officially,The manager needs to sign off on this report.
sign up,登録する、申し込む,to register,I signed up for a yoga class.
simmer down,怒りを静める,to become calm after being angry,Give him a few minutes to simmer down.
sink in,十分に理解される,to be fully understood,It took a while for the bad news to sink in.
sit back,くつろぐ、何もしない,"to relax, to take no action",Just sit back and enjoy the ride.
sit down,座る,to take a seat,Please sit down.
skate over,（問題を）避けて通る,to avoid dealing with a difficulty,He skated over the issue of funding.
skip out on,責任を逃れる、ドタキャンする,"to avoid a responsibility, to leave without paying",He skipped out on paying his half of the rent.
slack off,怠ける,to do less work than usual,Students usually slack off at the end of the semester.
sleep in,朝寝坊する,to sleep longer than usual,I love to sleep in on weekends.
sleep on,一晩考える,to delay making a decision until the next day,Let me sleep on it and I'll tell you tomorrow.
slip up,うっかりミスをする,to make a mistake,"If you slip up again, you're fired."
slow down,速度を落とす,to reduce speed,"Slow down, you're driving too fast!"
smooth over,（問題を）丸く収める,to make a problem seem less serious,The diplomat tried to smooth over the disagreement.
snap at,八つ当たりする、噛み付く,to speak angrily to someone,"Don't snap at me, I'm just trying to help!"
snap out of,（落ち込みなどから）急に立ち直る,to force oneself to stop feeling sad/upset,You need to snap out of your depression.
snap up,先を争って買う,to buy something quickly,The concert tickets were snapped up in minutes.
soak up,吸収する、満喫する,"to absorb, to enjoy an experience fully",We spent the afternoon soaking up the sun.
sort out,整理する、解決する,"to organize, to solve a problem",I need to sort out my closet.
sound out,（人の）意向を打診する,to discover someone's opinions,I'll sound him out about the new job.
speak out,堂々と意見を言う,to state your opinion firmly,She spoke out against the unfair policy.
speak up,大きな声で話す,to speak louder,Could you speak up a little?
spell out,詳しく説明する,to explain in detail,Do I need to spell it out for you?
spill over,あふれ出る、波及する,"to overflow, to spread to other areas",The conflict has spilled over into neighboring countries.
spin off,派生させる,to create a new company/product from an existing one,The university spun off a new tech startup.
spit it out,はっきり言う,to say what you are thinking (used as a command),Hurry up and spit it out!
split up,別れる、分割する,"to end a relationship, to divide",My parents split up when I was young.
sponge off,人にたかって生きる,to take money or hospitality without giving back,He's been sponging off his friends for months.
spring up,突然現れる,to appear suddenly,New coffee shops are springing up everywhere.
spruce up,身なりを整える、綺麗にする,to make someone or something look neater,We spruced up the house before the guests arrived.
square up,清算する、身構える,"to pay a debt, to prepare to fight",Let's square up for dinner. I owe you $20.
squeeze in,無理に予定に組み込む,to find time for someone/something despite being busy,The doctor can squeeze you in at 3 PM.
stack up,比較する、辻褄が合う,"to compare with others, to make sense",How does our product stack up against the competition?
stamp out,根絶する,to eliminate completely,The government aims to stamp out corruption.
stand by,待機する、支持する,"to be ready, to support",I will stand by you no matter what happens.
stand for,〜を表す、象徴する,to represent,What does UFO stand for?
stand in for,代役を務める,to replace someone temporarily,I'm standing in for the manager today.
stand out,目立つ,to be noticeable,Her bright red hair made her stand out.
stand up,立ち上がる、待ちぼうけを食わせる,"to rise to one's feet, to fail to meet",He stood me up on our first date.
stand up for,守る、支持する,to defend,You must stand up for your rights.
stand up to,立ち向かう,to defend oneself against,He finally stood up to the bully.
stash away,隠しておく、貯めておく,to store something in a secret place,He has some money stashed away for emergencies.
stay up,徹夜する、起きている,to remain awake,I stayed up late watching a movie.
step down,辞任する,to resign,The CEO will step down next month.
step up,強化する、進み出る,"to increase, to come forward to take responsibility",We need to step up our marketing efforts.
stick around,その場に残る,to remain in a place,"Stick around, the show is about to start."
stick to,〜に固執する、くっつく,"to adhere to, to continue with",You should stick to your original plan.
stick up for,擁護する,to support or defend,Thanks for sticking up for me.
stock up,買いだめする,to buy a large quantity of something,We need to stock up on supplies for the winter.
straighten out,解決する、更生させる,"to solve a problem, to improve someone's behavior",We need to straighten out this misunderstanding.
strike up,（会話などを）始める,to start a conversation or relationship,He struck up a conversation with the person next to him.
stumble upon,偶然見つける,to find by chance,I stumbled upon an interesting article today.
suck up to,ごまをする,to flatter someone in authority,He is always sucking up to the teacher.
sum up,要約する,to summarize,"To sum up, the project was a success."
swear by,〜に絶大な信頼を寄せる,to believe that something is very effective,My grandmother swears by this herbal remedy.
tack on,付け足す,to add something extra,They tacked on a service charge to the bill.
tail off,徐々に減少する,to gradually decrease,The number of attendees tailed off towards the end.
take aback,驚かせる,to surprise,I was taken aback by his rude behavior.
take after,（親などに）似ている,to resemble,He takes after his father.
take apart,分解する,to dismantle,He took the computer apart to fix it.
take away,持ち帰る、取り上げる,"to remove, to buy food to eat elsewhere","Can I have two burgers to take away, please?"
take back,返品する、撤回する,"to return, to retract",I take back what I said; I was wrong.
take down,書き留める、取り壊す,"to write down, to remove",The reporter took down every word he said.
take in,理解する、だます、サイズを詰める,"to understand, to deceive, to make clothes smaller",It was a lot of information to take in at once.
take off,離陸する、脱ぐ、急激に成功する,"to leave the ground, to remove clothes, to become successful",The plane took off on time.
take on,引き受ける、雇う,"to accept responsibility, to employ",I can't take on any more extra work.
take out,取り出す、連れ出す,"to remove, to take someone on a date",He took her out for dinner.
take over,引き継ぐ、乗っ取る,to assume control,Who will take over the business when he retires?
take up,（趣味などを）始める、時間を取る,"to start a hobby, to occupy time/space",I've decided to take up tennis.
talk down to,見下した態度で話す,to speak to someone as if they are inferior,I hate it when doctors talk down to me.
talk into,説得して〜させる,to persuade someone to do something,He talked me into buying a new car.
talk out of,説得して〜をやめさせる,to persuade someone not to do something,I tried to talk her out of quitting her job.
talk over,話し合う,to discuss,Let's talk it over tomorrow.
tap into,（資源や知識を）活用する,"to make use of a source of energy, knowledge, etc.",We need to tap into the expertise of our older employees.
tear apart,引き裂く、厳しく批判する,"to destroy completely, to criticize harshly",The war tore the country apart.
tear down,取り壊す,to destroy a building,They are tearing down the old hospital.
tear up,細かく引き裂く,to rip into pieces,She tore up his letter.
tee off,ティーオフする、激怒させる,"to start a round of golf, to make someone angry",His rude behavior really teed me off.
tell apart,見分ける,to distinguish between,I can't tell the twins apart.
tell off,叱る,to scold,The teacher told the students off for being noisy.
think ahead,先のことまで考える,to plan for the future,We need to think ahead and prepare for the next quarter.
think over,熟考する,to consider carefully,I need time to think over your offer.
think through,徹底的に考える,to consider carefully before making a decision,Have you really thought this through?
think up,考え出す,"to invent, to devise",We need to think up a good excuse.
throw away,捨てる,to discard,Don't throw away these papers.
throw in,おまけにつける、言葉を差し挟む,"to include extra without charge, to interject","If you buy the car, I'll throw in a set of winter tires."
throw out,捨てる、却下する,"to discard, to reject",The judge threw out the case.
throw up,吐く,to vomit,He drank too much and threw up.
tick off,怒らせる、チェックマークをつける,"to make someone angry, to mark items on a list",It really ticks me off when people are late.
tide over,（困難を）しのぐ,to help someone survive a difficult period,Can you lend me $50 to tide me over until payday?
tie down,縛り付ける、束縛する,to restrict someone's freedom,She doesn't want to be tied down by a relationship yet.
tip off,密告する、ヒントを与える,to give secret information to someone,Someone tipped off the police about the robbery.
tone down,和らげる、抑える,to make something less forceful or offensive,You need to tone down your language.
top off,仕上げる、満タンにする,"to finish something perfectly, to fill to the top",We topped off the meal with chocolate cake.
toss around,（アイデアなどを）あれこれ検討する,to discuss ideas casually,We tossed around a few ideas for the project.
touch on,（話題などに）軽く触れる,to mention briefly,The speaker touched on the issue of climate change.
touch upon,（話題に）軽く触れる,to mention briefly,The speaker touched upon the issue of climate change.
toy with,（考えなどを）漠然と抱く、もてあそぶ,to consider an idea not very seriously,I'm toying with the idea of moving to Canada.
track down,追い詰める、探し出す,to find after a long search,The police finally tracked down the killer.
trade in,下取りに出す,to exchange old goods for new ones,I traded in my old car for a new hybrid.
trip up,つまずく、ミスをする,"to stumble, to make a mistake",The tricky interview question tripped me up.
try on,試着する,to put on clothes to see how they fit,Can I try this coat on?
try out,試してみる,to test,We are trying out a new software system.
tuck away,しまい込む、人里離れた場所にある,"to store something in a safe place, to be hidden",The cabin is tucked away in the forest.
tune out,無視する、耳を貸さない,to stop listening or paying attention,I tend to tune out when he starts talking about politics.
turn around,好転させる、振り向く,"to improve a bad situation, to face the opposite direction",The new CEO turned the company around.
turn away,追い返す,to refuse entry,"The club was full, so they were turning people away."
turn back,引き返す,to return,The weather was so bad we had to turn back.
turn down,断る、音量を下げる,"to reject, to lower volume",They turned down my application.
turn into,〜に変わる,to transform into,The caterpillar turned into a butterfly.
turn off,消す、興味をなくさせる,"to switch off, to cause someone to lose interest",Please turn off the TV.
turn on,つける、興奮させる,"to switch on, to arouse","Turn on the lights, it's dark in here."
turn out,〜という結果になる、判明する,"to end up, to result",It turned out to be a great party.
turn over,ひっくり返す、譲る,"to flip, to transfer",Turn over the page and read the next chapter.
turn up,現れる、音量を上げる,"to appear unexpectedly, to increase volume",He finally turned up two hours late.
use up,使い果たす,to consume completely,We used up all the sugar.
usher in,到来を告げる、導き入れる,to mark the beginning of something new,The invention of the internet ushered in a new era.
vouch for,保証する,to guarantee someone's good character or the quality of something,I can vouch for her honesty.
wait up,寝ずに待つ,to stay awake waiting for someone,"Don't wait up for me, I'll be home late."
wake up,目を覚ます,to stop sleeping,I wake up at 7 AM every day.
walk out on,見捨てる,to abandon,He walked out on his wife and children.
ward off,撃退する、防ぐ,to prevent something dangerous from affecting you,She wore an amulet to ward off evil spirits.
warm up,準備運動をする、温まる,"to prepare for exercise, to become warm",You should always warm up before running.
wash away,洗い流す,to carry away by water,The bridge was washed away by the flood.
wash up,食器を洗う,to wash dishes,Who is going to wash up tonight?
watch out,気をつける,to be careful,Watch out for bears in this forest.
water down,水で薄める、骨抜きにする,"to dilute, to make something less extreme",The proposal was watered down to appease the opposition.
wean off,（悪習などから）徐々に引き離す,to gradually stop someone from doing something,I'm trying to wean myself off coffee.
wear down,疲れさせる、すり減らす,"to exhaust someone, to reduce gradually",The constant stress eventually wore him down.
wear off,（薬効などが）次第に消える,to fade away,The painkiller started to wear off.
wear out,すり減らす、疲れ果てさせる,"to damage through use, to exhaust",These shoes are worn out. / That hike wore me out.
weigh in,意見を述べる、計量する,"to give an opinion, to be weighed before a match",Everyone weighed in with their suggestions.
whip up,手早く作る、感情をかき立てる,"to make food quickly, to excite",I can whip up some pasta for dinner.
wind down,くつろぐ、徐々に終わらせる,"to relax, to gradually bring to an end",I like to wind down with a good book before bed.
wind up,（最終的に）〜になる、怒らせる,"to end up, to annoy","If you keep doing that, you'll wind up in jail."
wipe out,全滅させる,to destroy completely,The disease wiped out the entire village.
work around,うまく避けて通る、対処する,to find a way to overcome a problem,We'll have to work around this issue.
work out,運動する、解決する、うまくいく,"to exercise, to solve, to be successful",I work out at the gym twice a week.
work up,（感情や食欲を）かき立てる,"to develop (an appetite, courage)",I went for a walk to work up an appetite.
wrap up,包む、終わりにする,"to enclose, to finish",Let's wrap up this meeting.
write down,書き留める,to record in writing,Please write down your address here.
write off,見限る、帳消しにする,to accept that something is a failure or loss,The bank wrote off the bad debt.
yield to,屈する、譲る,"to surrender, to give way",You must yield to oncoming traffic.
zero in on,照準を合わせる、的を絞る,to direct all attention towards something,We need to zero in on the root cause of the problem.
zone out,ぼーっとする,to stop paying attention,I totally zoned out during the presentation.
zoom in,拡大する,to focus more closely,Can you zoom in on the picture?
